user,text,retweet_count,followers_count
iamSaviourIcon,"Saw this at Isolo under bridge this morning 🇳🇬✊
#EndSARSMemorial #EndSARS #EndPoliceBrutality https://t.co/gJm42OdAVb",2,56
OdiscoAkin98,"Join me as we discuss youth involvement in Politics in Nigeria...
#EndSARSMemorial #EnoughIsEnough… https://t.co/Nx9xgNjFqZ",2,109
evedarl,Nigeria LADY from edo state críed out I can't ķíľľ myself I am going bac... https://t.co/y9yGTSSY6W via @YouTube… https://t.co/K0iuUYNI5R,1,62
HotNewsNaija,"#ENDSARSMEMORIAL: Together - A Poem By Ola Olawale
https://t.co/BZ43najm5L
 #poetrycommunity #poem #poems… https://t.co/DXjHLWukBN",1,4041
ChimaSteven2,"Are you people deaf? No election in Anambra state, infact no election in Biafra land! Fulani want to play their las… https://t.co/U6mJ6ZS0We",4,105
Kennie_Petti,We cheat death everyday until our time is due #weekendvibes #Nuggets #WordOfTheDay  #EndSARS #EndSARSMemorial,3,14
tkayose,"all things work well for good... It's good the #EndSARSMemorial Was just some hours 

If not, nigeria FG lai Mohamm… https://t.co/FmjJVWOYk0",1,19
Donkelvinsque,"October 30, 2021
Verse of the Day
For it is by our faith that we are put right with God; it is by our confession th… https://t.co/ZoI2tVj62M",0,863
chuchuks86,@PeterSweden7 This is bad so I condemn it completely but Nigerian youths would still be alive if it was RUBBER BULL… https://t.co/MXuZ9G6WLr,0,1134
Olumide_AE,He then told me he was taken to the station at Magbon Abeokuta in Ogun state where he paid some certain amount to b… https://t.co/1gsy2OSE14,2,332
AdaAma18,"#NeverForget 
#lekkimassacre2020 
#EndSARSMemorial 
#EndPoliceBrutality 
#buharimustgo 
#EndSARS 
 UPRISING AND THE… https://t.co/N8Usz1M2Zy",1,311
adomu_e,"Understanding and RESPECTING the dynamics of your FOUNDATION🇳🇬

#EndSARS #EndSARSMemorial #EndPoliceBrutality… https://t.co/RLZvE5nHzu",1,364
ubdonald,"Someone please explain to me what’s the excitement for, Shey Na Car or the Car washerman? I no get 🤷‍♂️… https://t.co/ov5w1y9yCP",0,6883
UARPresident,"@DennisDaMennis6 @ayemojubar Before their very eyes, the apple trees will bare wild grapes not even oranges. Mark my words. #EndSARSMemorial",0,16
